A = 12D_CPEB4_D4, rgA = 62.093 ; B = CPEB4_D4, rgB = 62.535 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 0.241 0.465 0.468 69.735 69.495 
0.500 70.000 0.190 0.476 0.473 69.312 69.123 
0.500 60.000 0.143 0.469 0.460 68.621 68.478 
0.500 50.000 0.114 0.413 0.402 67.374 67.260 
0.500 40.000 0.136 0.245 0.245 64.833 64.697 
0.525 80.000 0.050 0.627 0.629 68.075 68.025 
0.525 70.000 0.003 0.638 0.635 67.606 67.603 
0.525 60.000 -0.036 0.620 0.612 66.842 66.878 
0.525 50.000 -0.048 0.527 0.519 65.479 65.527 
0.525 40.000 0.029 0.287 0.293 62.788 62.759 
0.550 80.000 -0.133 0.797 0.798 66.272 66.405 
0.550 70.000 -0.175 0.804 0.801 65.749 65.924 
0.550 60.000 -0.203 0.765 0.760 64.904 65.107 
0.550 50.000 -0.185 0.621 0.619 63.422 63.608 
0.550 40.000 -0.018 0.306 0.315 60.606 60.624 
0.575 80.000 -0.299 0.938 0.939 64.301 64.600 
0.575 70.000 -0.334 0.934 0.932 63.716 64.051 
0.575 60.000 -0.344 0.865 0.863 62.785 63.129 
0.575 50.000 -0.282 0.662 0.664 61.186 61.468 
0.575 40.000 0.014 0.289 0.296 58.280 58.266 
0.600 80.000 -0.439 1.000 1.000 62.130 62.569 
0.600 70.000 -0.461 0.976 0.976 61.480 61.941 
0.600 60.000 -0.442 0.870 0.871 60.459 60.901 
0.600 50.000 -0.311 0.617 0.619 58.755 59.066 
0.600 40.000 0.148 0.233 0.233 55.806 55.658 
0.625 80.000 -0.538 0.931 0.931 59.725 60.263 
0.625 70.000 -0.535 0.882 0.885 59.007 59.542 
0.625 60.000 -0.467 0.747 0.749 57.902 58.369 
0.625 50.000 -0.226 0.481 0.479 56.121 56.347 
0.625 40.000 0.429 0.154 0.148 53.201 52.771 
0.650 80.000 -0.567 0.721 0.721 57.043 57.610 
0.650 70.000 -0.512 0.656 0.657 56.264 56.776 
0.650 60.000 -0.344 0.519 0.515 55.097 55.440 
0.650 50.000 0.086 0.300 0.285 53.292 53.205 
0.650 40.000 0.993 0.083 0.072 50.519 49.526 
0.675 80.000 -0.433 0.434 0.426 54.037 54.470 
0.675 70.000 -0.242 0.376 0.360 53.218 53.460 
0.675 60.000 0.163 0.276 0.247 52.033 51.870 
0.675 50.000 0.978 0.144 0.110 50.303 49.325 
0.675 40.000 2.227 0.037 0.023 47.845 45.617 
0.700 80.000 0.152 0.187 0.160 50.663 50.512 
0.700 70.000 0.686 0.154 0.114 49.846 49.160 
0.700 60.000 1.620 0.106 0.060 48.729 47.109 
0.700 50.000 3.071 0.053 0.018 47.224 44.153 
0.700 40.000 4.543 0.015 0.003 45.274 40.731
