A = 12D_CPEB4_D4, rgA = 25.882 ; B = CPEB4_D4, rgB = 25.636
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 0.562 0.055 0.052 29.117 28.555 
0.900 70.000 0.428 0.065 0.057 28.865 28.437 
0.900 60.000 0.266 0.068 0.057 28.546 28.279 
0.900 50.000 0.058 0.057 0.046 28.122 28.064 
0.900 40.000 -0.170 0.026 0.024 27.592 27.762 
0.925 80.000 0.398 0.192 0.189 28.118 27.720 
0.925 70.000 0.339 0.209 0.199 27.936 27.597 
0.925 60.000 0.265 0.205 0.186 27.702 27.437 
0.925 50.000 0.165 0.158 0.137 27.394 27.229 
0.925 40.000 0.030 0.071 0.061 26.986 26.956 
0.950 80.000 0.318 0.482 0.478 27.239 26.921 
0.950 70.000 0.300 0.496 0.486 27.109 26.809 
0.950 60.000 0.271 0.455 0.433 26.938 26.667 
0.950 50.000 0.222 0.327 0.298 26.707 26.485 
0.950 40.000 0.124 0.134 0.119 26.378 26.254 
0.975 80.000 0.277 0.831 0.829 26.509 26.232 
0.975 70.000 0.272 0.821 0.814 26.409 26.137 
0.975 60.000 0.260 0.714 0.695 26.276 26.016 
0.975 50.000 0.230 0.476 0.452 26.093 25.863 
0.975 40.000 0.152 0.175 0.166 25.822 25.669 
1.000 80.000 0.246 0.999 0.999 25.898 25.651 
1.000 70.000 0.245 0.956 0.953 25.816 25.572 
1.000 60.000 0.236 0.795 0.784 25.707 25.470 
1.000 50.000 0.214 0.498 0.485 25.555 25.341 
1.000 40.000 0.154 0.168 0.168 25.331 25.177 
1.025 80.000 0.220 0.859 0.858 25.377 25.157 
1.025 70.000 0.217 0.800 0.800 25.307 25.089 
1.025 60.000 0.209 0.641 0.639 25.213 25.004 
1.025 50.000 0.191 0.381 0.381 25.085 24.894 
1.025 40.000 0.148 0.121 0.128 24.903 24.754
1.050 80.000 0.199 0.543 0.540 24.926 24.728 
1.050 70.000 0.194 0.492 0.495 24.864 24.670 
1.050 60.000 0.184 0.380 0.387 24.782 24.598 
1.050 50.000 0.169 0.215 0.227 24.674 24.505 
1.050 40.000 0.148 0.066 0.077 24.534 24.385 
1.075 80.000 0.182 0.257 0.258 24.533 24.352 
1.075 70.000 0.173 0.226 0.233 24.476 24.303 
1.075 60.000 0.161 0.167 0.181 24.403 24.243 
1.075 50.000 0.150 0.090 0.106 24.315 24.165 
1.075 40.000 0.161 0.029 0.037 24.224 24.062 
1.100 80.000 0.163 0.092 0.099 24.189 24.026 
1.100 70.000 0.148 0.078 0.089 24.137 23.988 
1.100 60.000 0.135 0.054 0.069 24.076 23.941 
1.100 50.000 0.134 0.029 0.041 24.012 23.877 
1.100 40.000 0.182 0.010 0.016 23.972 23.791 
