A = 7D_CPEB4, rgA = 69.581 ; B = CPEB4_alpha, rgB = 68.395 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 0.966 0.674 0.661 74.454 73.488 
0.500 70.000 1.006 0.681 0.668 73.991 72.984 
0.500 60.000 1.116 0.623 0.610 73.189 72.073 
0.500 50.000 1.457 0.436 0.417 71.653 70.196 
0.500 40.000 2.500 0.138 0.110 68.299 65.798 
0.525 80.000 0.997 0.791 0.782 73.381 72.384 
0.525 70.000 1.055 0.792 0.783 72.871 71.817 
0.525 60.000 1.196 0.710 0.700 71.987 70.791 
0.525 50.000 1.581 0.475 0.453 70.296 68.715 
0.525 40.000 2.533 0.134 0.105 66.697 64.164 
0.550 80.000 1.043 0.896 0.890 72.221 71.179 
0.550 70.000 1.122 0.886 0.882 71.657 70.535 
0.550 60.000 1.298 0.776 0.767 70.677 69.379 
0.550 50.000 1.721 0.493 0.465 68.813 67.092 
0.550 40.000 2.574 0.122 0.094 64.993 62.419 
0.575 80.000 1.105 0.971 0.969 70.960 69.856 
0.575 70.000 1.208 0.948 0.946 70.329 69.121 
0.575 60.000 1.421 0.807 0.795 69.239 67.818 
0.575 50.000 1.877 0.481 0.444 67.190 65.313 
0.575 40.000 2.692 0.104 0.077 63.195 60.503 
0.600 80.000 1.183 1.000 1.000 69.578 68.395 
0.600 70.000 1.313 0.959 0.956 68.869 67.556 
0.600 60.000 1.562 0.789 0.768 67.652 66.090 
0.600 50.000 2.056 0.436 0.389 65.411 63.355 
0.600 40.000 3.033 0.082 0.055 61.333 58.300 
0.625 80.000 1.281 0.967 0.965 68.054 66.774 
0.625 70.000 1.438 0.908 0.897 67.252 65.814 
0.625 60.000 1.723 0.715 0.681 65.892 64.169 
0.625 50.000 2.286 0.361 0.303 63.464 61.178 
0.625 40.000 3.802 0.060 0.030 59.443 55.640 
0.650 80.000 1.394 0.866 0.857 66.360 64.965 
0.650 70.000 1.577 0.790 0.768 65.447 63.870 
0.650 60.000 1.898 0.589 0.540 63.928 62.030 
0.650 50.000 2.609 0.268 0.200 61.336 58.727 
0.650 40.000 5.109 0.040 0.012 57.554 52.445 
0.675 80.000 1.513 0.704 0.686 64.459 62.946 
0.675 70.000 1.711 0.618 0.584 63.413 61.701 
0.675 60.000 2.069 0.428 0.371 61.716 59.648 
0.675 50.000 3.047 0.174 0.106 59.001 55.954 
0.675 40.000 6.679 0.024 0.003 55.659 48.980 
0.700 80.000 1.599 0.505 0.482 62.306 60.707 
0.700 70.000 1.786 0.419 0.382 61.093 59.307 
0.700 60.000 2.164 0.265 0.211 59.194 57.030 
0.700 50.000 3.504 0.095 0.042 56.412 52.909 
0.700 40.000 7.845 0.014 0.001 53.691 45.846 
