A = 7D_CPEB4, rgA = 38.734 ; B = CPEB4, rgB = 39.289 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 -1.040 0.451 0.452 46.829 47.868 
0.750 70.000 -1.125 0.482 0.476 45.925 47.051 
0.750 60.000 -1.232 0.470 0.453 44.625 45.856 
0.750 50.000 -1.354 0.360 0.329 42.730 44.085 
0.750 40.000 -1.550 0.144 0.118 39.992 41.542 
0.775 80.000 -0.801 0.800 0.798 42.763 43.564 
0.775 70.000 -0.876 0.813 0.805 41.917 42.793 
0.775 60.000 -0.954 0.731 0.712 40.746 41.700 
0.775 50.000 -1.024 0.490 0.461 39.108 40.132 
0.775 40.000 -1.147 0.162 0.143 36.828 37.976
0.800 80.000 -0.561 0.999 0.999 38.820 39.381 
0.800 70.000 -0.616 0.956 0.954 38.104 38.719 
0.800 60.000 -0.665 0.784 0.774 37.138 37.803 
0.800 50.000 -0.712 0.458 0.444 35.827 36.539 
0.800 40.000 -0.897 0.124 0.120 34.033 34.929 
0.825 80.000 -0.311 0.804 0.797 35.376 35.688 
0.825 70.000 -0.344 0.726 0.721 34.823 35.167 
0.825 60.000 -0.377 0.548 0.542 34.090 34.467 
0.825 50.000 -0.435 0.283 0.282 33.105 33.539 
0.825 40.000 -0.695 0.064 0.073 31.748 32.442 
0.850 80.000 -0.081 0.410 0.390 32.643 32.724 
0.850 70.000 -0.100 0.356 0.339 32.246 32.346 
0.850 60.000 -0.133 0.253 0.243 31.721 31.854 
0.850 50.000 -0.209 0.121 0.121 31.016 31.225 
0.850 40.000 -0.479 0.024 0.033 30.032 30.511 
0.875 80.000 0.095 0.138 0.114 30.601 30.506 
0.875 70.000 0.075 0.119 0.100 30.333 30.258 
0.875 60.000 0.038 0.083 0.072 29.980 29.943 
0.875 50.000 -0.021 0.040 0.037 29.514 29.535 
0.875 40.000 -0.195 0.008 0.011 28.869 29.064 
0.900 80.000 0.122 0.033 0.016 29.095 28.973 
0.900 70.000 0.104 0.029 0.016 28.935 28.831 
0.900 60.000 0.095 0.021 0.014 28.729 28.634 
0.900 50.000 0.138 0.012 0.009 28.479 28.341 
0.900 40.000 0.164 0.003 0.003 28.145 27.982 
