A = 7D_CPEB4, rgA = 32.248 ; B = CPEB4_alpha, rgB = 31.956
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 -4.968 0.129 0.072 39.661 44.629 
0.900 70.000 -3.455 0.156 0.107 38.834 42.288 
0.900 60.000 -1.852 0.162 0.136 37.846 39.697 
0.900 50.000 -0.437 0.114 0.115 36.649 37.086 
0.900 40.000 0.228 0.032 0.038 35.028 34.800 
0.925 80.000 -1.867 0.303 0.245 37.604 39.471 
0.925 70.000 -1.110 0.344 0.304 36.893 38.002 
0.925 60.000 -0.422 0.327 0.311 36.040 36.462 
0.925 50.000 0.114 0.206 0.208 35.002 34.888 
0.925 40.000 0.352 0.051 0.054 33.637 33.285 
0.950 80.000 -0.414 0.582 0.550 35.631 36.044 
0.950 70.000 -0.132 0.616 0.597 35.035 35.168 
0.950 60.000 0.101 0.535 0.527 34.319 34.218 
0.950 50.000 0.271 0.303 0.300 33.444 33.173 
0.950 40.000 0.245 0.065 0.064 32.241 31.995 
0.975 80.000 0.128 0.872 0.865 33.829 33.702 
0.975 70.000 0.208 0.863 0.858 33.345 33.138 
0.975 60.000 0.263 0.689 0.682 32.761 32.498 
0.975 50.000 0.277 0.351 0.343 32.034 31.757 
0.975 40.000 0.013 0.062 0.064 30.922 30.910
1.000 80.000 0.293 0.999 0.999 32.249 31.956 
1.000 70.000 0.301 0.930 0.929 31.865 31.565 
1.000 60.000 0.290 0.688 0.684 31.397 31.107 
1.000 50.000 0.227 0.318 0.314 30.796 30.569 
1.000 40.000 -0.222 0.046 0.055 29.766 29.989 
1.025 80.000 0.317 0.873 0.871 30.899 30.582 
1.025 70.000 0.299 0.771 0.771 30.597 30.298 
1.025 60.000 0.261 0.533 0.534 30.221 29.960 
1.025 50.000 0.154 0.225 0.230 29.719 29.565 
1.025 40.000 -0.377 0.028 0.041 28.808 29.185 
1.050 80.000 0.287 0.586 0.586 29.761 29.473 
1.050 70.000 0.258 0.494 0.500 29.520 29.262 
1.050 60.000 0.202 0.321 0.332 29.210 29.007 
1.050 50.000 0.067 0.126 0.138 28.782 28.715 
1.050 40.000 -0.434 0.016 0.026 28.037 28.471 
1.075 80.000 0.226 0.304 0.314 28.800 28.574 
1.075 70.000 0.186 0.246 0.262 28.602 28.416 
1.075 60.000 0.111 0.150 0.169 28.334 28.223 
1.075 50.000 -0.041 0.056 0.069 27.962 28.003 
1.075 40.000 -0.432 0.008 0.014 27.410 27.842 
1.100 80.000 0.114 0.120 0.141 27.972 27.858 
1.100 70.000 0.069 0.096 0.117 27.811 27.742 
1.100 60.000 -0.024 0.055 0.074 27.573 27.597 
1.100 50.000 -0.182 0.020 0.030 27.250 27.431 
1.100 40.000 -0.438 0.004 0.006 26.879 27.317 
