A = CPEB4_D4, rgA = 63.154 ; B = CPEB4_alpha, rgB = 63.956 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 -0.221 0.502 0.517 70.456 70.677 
0.500 70.000 -0.252 0.510 0.524 69.984 70.236 
0.500 60.000 -0.339 0.495 0.490 69.146 69.485 
0.500 50.000 -0.603 0.417 0.370 67.501 68.104 
0.500 40.000 -1.432 0.211 0.146 63.868 65.301 
0.525 80.000 -0.332 0.656 0.669 68.922 69.253 
0.525 70.000 -0.389 0.665 0.673 68.378 68.767 
0.525 60.000 -0.514 0.636 0.620 67.428 67.942 
0.525 50.000 -0.826 0.511 0.451 65.606 66.432 
0.525 40.000 -1.628 0.227 0.162 61.765 63.393 
0.550 80.000 -0.459 0.814 0.822 67.226 67.685 
0.550 70.000 -0.544 0.819 0.819 66.601 67.145 
0.550 60.000 -0.710 0.765 0.739 65.527 66.238 
0.550 50.000 -1.066 0.579 0.513 63.521 64.587 
0.550 40.000 -1.820 0.221 0.166 59.505 61.325 
0.575 80.000 -0.612 0.943 0.946 65.339 65.951 
0.575 70.000 -0.727 0.935 0.930 64.623 65.350 
0.575 60.000 -0.934 0.846 0.816 63.416 64.351 
0.575 50.000 -1.332 0.593 0.532 61.228 62.559 
0.575 40.000 -2.065 0.191 0.152 57.060 59.125 
0.600 80.000 -0.795 0.999 0.999 63.227 64.023 
0.600 70.000 -0.943 0.970 0.965 62.413 63.355 
0.600 60.000 -1.194 0.839 0.815 61.067 62.261 
0.600 50.000 -1.645 0.533 0.492 58.701 60.345 
0.600 40.000 -2.463 0.141 0.122 54.383 56.846 
0.625 80.000 -1.012 0.941 0.944 60.861 61.873 
0.625 70.000 -1.195 0.885 0.888 59.940 61.135 
0.625 60.000 -1.499 0.719 0.714 58.452 59.951 
0.625 50.000 -2.042 0.404 0.393 55.908 57.951 
0.625 40.000 -3.100 0.086 0.085 51.437 54.537 
0.650 80.000 -1.258 0.759 0.770 58.211 59.469 
0.650 70.000 -1.483 0.681 0.699 57.179 58.663 
0.650 60.000 -1.862 0.508 0.528 55.544 57.406 
0.650 50.000 -2.561 0.245 0.263 52.825 55.386 
0.650 40.000 -3.962 0.042 0.051 48.256 52.217 
0.675 80.000 -1.515 0.500 0.517 55.269 56.784 
0.675 70.000 -1.797 0.421 0.449 54.125 55.922 
0.675 60.000 -2.283 0.282 0.316 52.347 54.630 
0.675 50.000 -3.200 0.113 0.143 49.477 52.676 
0.675 40.000 -4.891 0.017 0.026 44.982 49.873 
0.700 80.000 -1.758 0.258 0.272 52.080 53.837 
0.700 70.000 -2.117 0.201 0.225 50.836 52.953 
0.700 60.000 -2.748 0.118 0.148 48.941 51.688 
0.700 50.000 -3.901 0.040 0.062 45.995 49.896 
0.700 40.000 -5.687 0.006 0.012 41.838 47.524 
