A = CPEB4_D4, rgA = 25.636 ; B = CPEB4, rgB = 25.946 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 -0.362 0.052 0.060 28.555 28.917 
0.900 70.000 -0.269 0.057 0.067 28.437 28.706 
0.900 60.000 -0.191 0.057 0.065 28.279 28.470 
0.900 50.000 -0.148 0.046 0.048 28.064 28.212 
0.900 40.000 -0.137 0.024 0.021 27.762 27.899 
0.925 80.000 -0.389 0.189 0.190 27.720 28.109 
0.925 70.000 -0.348 0.199 0.201 27.597 27.945 
0.925 60.000 -0.310 0.186 0.186 27.437 27.747 
0.925 50.000 -0.274 0.137 0.132 27.229 27.503 
0.925 40.000 -0.211 0.061 0.055 26.956 27.167 
0.950 80.000 -0.388 0.478 0.471 26.921 27.309 
0.950 70.000 -0.366 0.486 0.478 26.809 27.175 
0.950 60.000 -0.340 0.433 0.422 26.667 27.006 
0.950 50.000 -0.303 0.298 0.279 26.485 26.788 
0.950 40.000 -0.221 0.119 0.102 26.254 26.475 
0.975 80.000 -0.354 0.829 0.825 26.232 26.586 
0.975 70.000 -0.338 0.814 0.808 26.137 26.474 
0.975 60.000 -0.318 0.695 0.677 26.016 26.334 
0.975 50.000 -0.286 0.452 0.416 25.863 26.149 
0.975 40.000 -0.218 0.166 0.134 25.669 25.887 
1.000 80.000 -0.311 0.999 0.999 25.651 25.963 
1.000 70.000 -0.299 0.953 0.948 25.572 25.870 
1.000 60.000 -0.284 0.784 0.763 25.470 25.754 
1.000 50.000 -0.261 0.485 0.442 25.341 25.602 
1.000 40.000 -0.212 0.168 0.131 25.177 25.389 
1.025 80.000 -0.273 0.858 0.853 25.157 25.429 
1.025 70.000 -0.264 0.800 0.790 25.089 25.353 
1.025 60.000 -0.253 0.639 0.615 25.004 25.257 
1.025 50.000 -0.237 0.381 0.342 24.894 25.131 
1.025 40.000 -0.204 0.128 0.097 24.754 24.958 
1.050 80.000 -0.239 0.540 0.527 24.728 24.967 
1.050 70.000 -0.234 0.495 0.479 24.670 24.904 
1.050 60.000 -0.226 0.387 0.363 24.598 24.824 
1.050 50.000 -0.216 0.227 0.196 24.505 24.721 
1.050 40.000 -0.198 0.077 0.055 24.385 24.584
1.075 80.000 -0.209 0.258 0.240 24.352 24.561 
1.075 70.000 -0.206 0.233 0.214 24.303 24.509 
1.075 60.000 -0.202 0.181 0.158 24.243 24.444 
1.075 50.000 -0.198 0.106 0.082 24.165 24.363 
1.075 40.000 -0.202 0.037 0.024 24.062 24.264 
1.100 80.000 -0.182 0.099 0.083 24.026 24.208 
1.100 70.000 -0.179 0.089 0.071 23.988 24.167 
1.100 60.000 -0.176 0.069 0.049 23.941 24.117 
1.100 50.000 -0.180 0.041 0.023 23.877 24.057 
1.100 40.000 -0.209 0.016 0.007 23.791 24.000 
