 Protein I Eps Scale Name FullPath
0 12D_CPEB4 10 10 1.0 1.0ls-10I-10e /home/adria/data/prod/lammps/12D_CPEB4/EPS/10/1.0ls-10I-10e
1 12D_CPEB4 400 10 1.0 1.0ls-400I-10e /home/adria/data/prod/lammps/12D_CPEB4/EPS/10/1.0ls-400I-10e
2 12D_CPEB4 10 80 0.8 0.8ls-10I-80e /home/adria/data/prod/lammps/12D_CPEB4/EPS/80/0.8ls-10I-80e
3 12D_CPEB4 400 80 0.8 0.8ls-400I-80e /home/adria/data/prod/lammps/12D_CPEB4/EPS/80/0.8ls-400I-80e
4 12D_CPEB4 10 80 1.0 1.0ls-10I-80e /home/adria/data/prod/lammps/12D_CPEB4/EPS/80/1.0ls-10I-80e
5 12D_CPEB4 400 80 1.0 1.0ls-400I-80e /home/adria/data/prod/lammps/12D_CPEB4/EPS/80/1.0ls-400I-80e
6 7D_CPEB4 10 10 1.0 1.0ls-10I-10e /home/adria/data/prod/lammps/7D_CPEB4/EPS/10/1.0ls-10I-10e
7 7D_CPEB4 400 10 1.0 1.0ls-400I-10e /home/adria/data/prod/lammps/7D_CPEB4/EPS/10/1.0ls-400I-10e
8 7D_CPEB4 10 80 0.8 0.8ls-10I-80e /home/adria/data/prod/lammps/7D_CPEB4/EPS/80/0.8ls-10I-80e
9 7D_CPEB4 400 80 0.8 0.8ls-400I-80e /home/adria/data/prod/lammps/7D_CPEB4/EPS/80/0.8ls-400I-80e
10 7D_CPEB4 10 80 1.0 1.0ls-10I-80e /home/adria/data/prod/lammps/7D_CPEB4/EPS/80/1.0ls-10I-80e
11 7D_CPEB4 400 80 1.0 1.0ls-400I-80e /home/adria/data/prod/lammps/7D_CPEB4/EPS/80/1.0ls-400I-80e
12 CPEB4 13 10 0.55 0.55l-100I-CPEB4 /home/adria/data/prod/lammps/CPEB4/EPS/10/0.55l-100I-CPEB4
13 CPEB4 1 10 0.55 0.55l-10I-CPEB4 /home/adria/data/prod/lammps/CPEB4/EPS/10/0.55l-10I-CPEB4
14 CPEB4 13 10 0.7 0.7l-100I-CPEB4 /home/adria/data/prod/lammps/CPEB4/EPS/10/0.7l-100I-CPEB4
15 CPEB4 1 10 0.7 0.7l-10I-CPEB4 /home/adria/data/prod/lammps/CPEB4/EPS/10/0.7l-10I-CPEB4
16 CPEB4 13 10 0.85 0.85l-100I-CPEB4 /home/adria/data/prod/lammps/CPEB4/EPS/10/0.85l-100I-CPEB4
17 CPEB4 1 10 0.85 0.85l-10I-CPEB4 /home/adria/data/prod/lammps/CPEB4/EPS/10/0.85l-10I-CPEB4
18 CPEB4 13 10 1.0 1.0l-100I-CPEB4 /home/adria/data/prod/lammps/CPEB4/EPS/10/1.0l-100I-CPEB4
19 CPEB4 1 10 1.0 1.0l-10I-CPEB4 /home/adria/data/prod/lammps/CPEB4/EPS/10/1.0l-10I-CPEB4
20 CPEB4 10 10 1.0 1.0ls-10I-10e /home/adria/data/prod/lammps/CPEB4/EPS/10/1.0ls-10I-10e
21 CPEB4 400 10 1.0 1.0ls-400I-10e /home/adria/data/prod/lammps/CPEB4/EPS/10/1.0ls-400I-10e
22 CPEB4 10 80 0.8 0.8ls-10I-80e /home/adria/data/prod/lammps/CPEB4/EPS/80/0.8ls-10I-80e
23 CPEB4 400 80 0.8 0.8ls-400I-80e /home/adria/data/prod/lammps/CPEB4/EPS/80/0.8ls-400I-80e
