 Protein I Eps Scale Name FullPath
0 12D_CPEB4_D4 100 80.0 1.0 1.0ls-100I-80e /home/adria/data/prod/lammps/12D_CPEB4_D4/1.0ls-100I-80e
1 12D_CPEB4_D4x50 100 80.0 1.0 FIXT /home/adria/data/prod/lammps/12D_CPEB4_D4x50/FIXT
2 12D_CPEB4_D4x50 100 80.0 1.0 REX /home/adria/data/prod/lammps/12D_CPEB4_D4x50/REX
3 7D_CPEB4 100 80.0 1.0 1.0ls-100I-80e /home/adria/data/prod/lammps/7D_CPEB4/1.0ls-100I-80e
4 7D_CPEB4x50 100 80.0 1.0 FIXT /home/adria/data/prod/lammps/7D_CPEB4x50/FIXT
5 7D_CPEB4x50 100 80.0 1.0 REX /home/adria/data/prod/lammps/7D_CPEB4x50/REX
6 CPEB4 100 80.0 1.0 1.0ls-100I-80e /home/adria/data/prod/lammps/CPEB4/1.0ls-100I-80e
7 CPEB4_D4 100 80.0 1.0 1.0ls-100I-80e /home/adria/data/prod/lammps/CPEB4_D4/1.0ls-100I-80e
8 CPEB4_D4x50 100 80.0 1.0 FIXT /home/adria/data/prod/lammps/CPEB4_D4x50/FIXT
9 CPEB4_D4x50 100 80.0 1.0 REX /home/adria/data/prod/lammps/CPEB4_D4x50/REX
10 CPEB4x50-24 100 80.0 1.0 CPEB4x50-24 /home/adria/data/prod/lammps/CPEB4x50-24
11 CPEB4x50 100 10.0 1.0 1.0ls-100I-10e /home/adria/data/prod/lammps/CPEB4x50/1.0ls-100I-10e
12 CPEB4x50 100 80.0 1.0 1.0ls-100I-80e /home/adria/data/prod/lammps/CPEB4x50/1.0ls-100I-80e
13 TDP 100 80.0 1.0 TDP /home/adria/data/prod/lammps/TDP
14 TDP-BIG 100 80.0 1.0 TDP-BIG /home/adria/data/prod/lammps/TDP-BIG
