 Protein I Eps Scale Name FullPath
0 HPS-T 95 80.0 2.14 CT-CspTm /home/adria/data/prod/lammps/HPS-T/CT-CspTm
1 HPS-T 95 80.0 2.14 CT-Integrase /home/adria/data/prod/lammps/HPS-T/CT-Integrase
2 HPS-T 100 80.0 0.08 T0 /home/adria/data/prod/lammps/HPS-T/CspTm/T0
3 HPS-T 100 80.0 1.11 T1 /home/adria/data/prod/lammps/HPS-T/CspTm/T1
4 HPS-T 93 80.0 1.8 T2 /home/adria/data/prod/lammps/HPS-T/CspTm/T2
5 HPS-T 86 80.0 2.14 T3 /home/adria/data/prod/lammps/HPS-T/CspTm/T3
6 HPS-T 80 80.0 2.14 T4 /home/adria/data/prod/lammps/HPS-T/CspTm/T4
7 HPS-T 75 80.0 1.79 T5 /home/adria/data/prod/lammps/HPS-T/CspTm/T5
8 HPS-T 67 80.0 0.07 T6 /home/adria/data/prod/lammps/HPS-T/CspTm/T6
9 HPS-T 80 80.0 2.14 CspTmV2 /home/adria/data/prod/lammps/HPS-T/CspTmV2
10 HPS-T 100 80.0 1.11 Integrase /home/adria/data/prod/lammps/HPS-T/Integrase
11 HPS-T 100 80.0 0.08 T0 /home/adria/data/prod/lammps/HPS-T/Integrase/T0
12 HPS-T 100 80.0 1.11 T1 /home/adria/data/prod/lammps/HPS-T/Integrase/T1
13 HPS-T 93 80.0 1.8 T2 /home/adria/data/prod/lammps/HPS-T/Integrase/T2
14 HPS-T 86 80.0 2.14 T3 /home/adria/data/prod/lammps/HPS-T/Integrase/T3
15 HPS-T 80 80.0 2.14 T4 /home/adria/data/prod/lammps/HPS-T/Integrase/T4
16 HPS-T 75 80.0 1.79 T5 /home/adria/data/prod/lammps/HPS-T/Integrase/T5
17 HPS-T 67 80.0 0.07 T6 /home/adria/data/prod/lammps/HPS-T/Integrase/T6
18 HPS-T 80 80.0 2.14 IntegraseV2 /home/adria/data/prod/lammps/HPS-T/IntegraseV2
19 HPS 100 80.0 1.0 1.0ls-100I-80e /home/adria/data/prod/lammps/HPS/12D_CPEB4_D4/1.0ls-100I-80e
20 HPS 100 80.0 1.0 12D_CPEB4_D4x2 /home/adria/data/prod/lammps/HPS/12D_CPEB4_D4x2
21 HPS 100 80.0 1.0 T0 /home/adria/data/prod/lammps/HPS/12D_CPEB4_D4x50/T0
22 HPS 67 80.0 1.0 T1 /home/adria/data/prod/lammps/HPS/12D_CPEB4_D4x50/T1
23 HPS 100 80.0 1.0 1.0ls-100I-80e /home/adria/data/prod/lammps/HPS/7D_CPEB4/1.0ls-100I-80e
24 HPS 100 80.0 1.0 7D_CPEB4x2 /home/adria/data/prod/lammps/HPS/7D_CPEB4x2
25 HPS 100 80.0 1.0 T0 /home/adria/data/prod/lammps/HPS/7D_CPEB4x50/T0
26 HPS 67 80.0 1.0 T1 /home/adria/data/prod/lammps/HPS/7D_CPEB4x50/T1
27 HPS 100 80.0 1.0 1.0ls-100I-80e /home/adria/data/prod/lammps/HPS/CPEB4/1.0ls-100I-80e
28 HPS 100 80.0 1.0 1.0ls-100I-80e /home/adria/data/prod/lammps/HPS/CPEB4_D4/1.0ls-100I-80e
29 HPS 100 80.0 1.0 CPEB4_D4x2 /home/adria/data/prod/lammps/HPS/CPEB4_D4x2
30 HPS 100 80.0 1.0 T0 /home/adria/data/prod/lammps/HPS/CPEB4_D4x50/T0
31 HPS 67 80.0 1.0 T1 /home/adria/data/prod/lammps/HPS/CPEB4_D4x50/T1
32 HPS 100 80.0 1.0 CPEB4x2 /home/adria/data/prod/lammps/HPS/CPEB4x2
33 HPS 100 80.0 1.0 12D /home/adria/data/prod/lammps/HPS/EXPANDED-REX-CPEB4/12D
34 HPS 100 80.0 1.0 7D /home/adria/data/prod/lammps/HPS/EXPANDED-REX-CPEB4/7D
35 HPS 100 80.0 1.0 D4 /home/adria/data/prod/lammps/HPS/EXPANDED-REX-CPEB4/D4
36 HPS 100 80.0 1.0 WT /home/adria/data/prod/lammps/HPS/EXPANDED-REX-CPEB4/WT
37 HPS 100 80.0 1.0 EXT-12D_CPEB4_D4x2 /home/adria/data/prod/lammps/HPS/EXT-12D_CPEB4_D4x2
38 HPS 100 80.0 1.0 EXT-7D_CPEB4x2 /home/adria/data/prod/lammps/HPS/EXT-7D_CPEB4x2
39 HPS 100 80.0 1.0 EXT-CPEB4_D4x2 /home/adria/data/prod/lammps/HPS/EXT-CPEB4_D4x2
40 HPS 100 80.0 1.0 EXT-CPEB4x2 /home/adria/data/prod/lammps/HPS/EXT-CPEB4x2
41 HPS 100 80.0 1.0 REX-12D_CPEB4_D4x50 /home/adria/data/prod/lammps/HPS/REX-12D_CPEB4_D4x50
42 HPS 100 80.0 1.0 REX-7D_CPEB4x50 /home/adria/data/prod/lammps/HPS/REX-7D_CPEB4x50
43 HPS 100 80.0 1.0 REX-CPEB4_D4x50 /home/adria/data/prod/lammps/HPS/REX-CPEB4_D4x50
44 HPS 100 10.0 1.0 1.0ls-100I-10e /home/adria/data/prod/lammps/HPS/REX-CPEB4x50/1.0ls-100I-10e
45 HPS 100 80.0 1.0 1.0ls-100I-80e /home/adria/data/prod/lammps/HPS/REX-CPEB4x50/1.0ls-100I-80e
46 HPS 100 80.0 1.0 TDP /home/adria/data/prod/lammps/HPS/TDP
47 HPS 100 80.0 1.0 TDP-BIG /home/adria/data/prod/lammps/HPS/TDP-BIG
