A = 12D_CPEB4_D4, rgA = 57.578 ; B = CPEB4_D4, rgB = 55.378
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B
0.500 80.000 0.117 0.676 0.661 73.379 73.263
0.500 70.000 0.229 0.684 0.668 72.891 72.662
0.500 60.000 0.482 0.646 0.633 72.042 71.560
0.500 50.000 1.100 0.501 0.490 70.415 69.315
0.500 40.000 2.754 0.204 0.177 66.959 64.205
0.525 80.000 0.206 0.793 0.781 72.265 72.059
0.525 70.000 0.344 0.796 0.785 71.730 71.386
0.525 60.000 0.642 0.739 0.731 70.807 70.164
0.525 50.000 1.332 0.549 0.537 69.054 67.722
0.525 40.000 3.051 0.200 0.166 65.441 62.390
0.550 80.000 0.317 0.896 0.890 71.067 70.750
0.550 70.000 0.488 0.892 0.887 70.482 69.994
0.550 60.000 0.838 0.810 0.806 69.477 68.639
0.550 50.000 1.602 0.572 0.555 67.590 65.989
0.550 40.000 3.359 0.186 0.142 63.829 60.469
0.575 80.000 0.458 0.971 0.969 69.778 69.320
0.575 70.000 0.667 0.955 0.954 69.136 68.469
0.575 60.000 1.076 0.844 0.839 68.041 66.965
0.575 50.000 1.908 0.561 0.532 66.013 64.105
0.575 40.000 3.643 0.160 0.106 62.103 58.460
0.600 80.000 0.637 1.000 1.000 68.385 67.748
0.600 70.000 0.891 0.968 0.966 67.679 66.788
0.600 60.000 1.362 0.828 0.814 66.485 65.123
0.600 50.000 2.244 0.512 0.465 64.306 62.062
0.600 40.000 3.818 0.126 0.068 60.218 56.399
0.625 80.000 0.863 0.967 0.964 66.873 66.010
0.625 70.000 1.167 0.918 0.908 66.095 64.928
0.625 60.000 1.696 0.754 0.723 64.791 63.094
0.625 50.000 2.589 0.426 0.364 62.444 59.854
0.625 40.000 3.732 0.087 0.037 58.093 54.361
0.650 80.000 1.142 0.869 0.855 65.225 64.083
0.650 70.000 1.496 0.803 0.777 64.364 62.868
0.650 60.000 2.072 0.626 0.574 62.935 60.863
0.650 50.000 2.894 0.316 0.248 60.387 57.493
0.650 40.000 3.194 0.051 0.018 55.639 52.445
0.675 80.000 1.470 0.711 0.682 63.416 61.946
0.675 70.000 1.870 0.635 0.589 62.461 60.591
0.675 60.000 2.461 0.463 0.397 60.887 58.426
0.675 50.000 3.071 0.202 0.145 58.087 55.016
0.675 40.000 2.084 0.024 0.008 52.821 50.737
0.700 80.000 1.835 0.518 0.477 61.421 59.586
0.700 70.000 2.263 0.442 0.385 60.359 58.096
0.700 60.000 2.808 0.296 0.232 58.621 55.813
0.700 50.000 3.011 0.107 0.072 55.522 52.511
0.700 40.000 0.503 0.009 0.004 49.778 49.275
