A = 12D_CPEB4_D4, rgA = 46.221 ; B = CPEB4_D4, rgB = 45.727 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 -0.025 0.068 0.056 63.280 63.305 
0.600 70.000 -0.045 0.075 0.063 62.471 62.516 
0.600 60.000 -0.018 0.080 0.069 61.256 61.274 
0.600 50.000 0.029 0.077 0.068 59.354 59.325 
0.600 40.000 -0.033 0.049 0.045 56.351 56.385 
0.625 80.000 -0.156 0.124 0.107 61.145 61.302 
0.625 70.000 -0.131 0.137 0.120 60.302 60.433 
0.625 60.000 -0.046 0.145 0.130 59.029 59.075 
0.625 50.000 0.088 0.135 0.122 57.020 56.932 
0.625 40.000 0.206 0.078 0.072 53.806 53.599 
0.650 80.000 -0.149 0.224 0.202 58.791 58.940 
0.650 70.000 -0.084 0.245 0.224 57.894 57.978 
0.650 60.000 0.047 0.255 0.236 56.539 56.491 
0.650 50.000 0.244 0.223 0.209 54.411 54.167 
0.650 40.000 0.472 0.114 0.106 51.048 50.576 
0.675 80.000 -0.047 0.386 0.363 56.160 56.207 
0.675 70.000 0.048 0.417 0.396 55.196 55.148 
0.675 60.000 0.209 0.420 0.401 53.756 53.547 
0.675 50.000 0.439 0.341 0.326 51.539 51.101 
0.675 40.000 0.714 0.151 0.140 48.147 47.432 
0.700 80.000 0.111 0.616 0.598 53.210 53.100 
0.700 70.000 0.223 0.649 0.634 52.184 51.961 
0.700 60.000 0.395 0.622 0.607 50.683 50.288 
0.700 50.000 0.632 0.458 0.442 48.449 47.817 
0.700 40.000 0.935 0.171 0.156 45.171 44.236 
0.725 80.000 0.296 0.866 0.860 49.934 49.638 
0.725 70.000 0.414 0.878 0.872 48.873 48.459 
0.725 60.000 0.583 0.783 0.772 47.367 46.784 
0.725 50.000 0.809 0.511 0.492 45.213 44.403 
0.725 40.000 1.124 0.158 0.139 42.176 41.052 
0.750 80.000 0.492 0.999 0.999 46.382 45.889 
0.750 70.000 0.603 0.956 0.953 45.338 44.735 
0.750 60.000 0.752 0.778 0.766 43.904 43.152 
0.750 50.000 0.940 0.440 0.421 41.929 40.989 
0.750 40.000 1.184 0.111 0.097 39.224 38.040
