A = 7D_CPEB4, rgA = 65.002 ; B = CPEB4_alpha, rgB = 63.956 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 1.205 0.521 0.517 71.882 70.677 
0.500 70.000 1.195 0.529 0.524 71.431 70.236 
0.500 60.000 1.197 0.499 0.490 70.682 69.485 
0.500 50.000 1.195 0.387 0.370 69.299 68.104 
0.500 40.000 0.992 0.159 0.146 66.292 65.301 
0.525 80.000 1.162 0.672 0.669 70.416 69.253 
0.525 70.000 1.157 0.678 0.673 69.924 68.767 
0.525 60.000 1.167 0.631 0.620 69.110 67.942 
0.525 50.000 1.188 0.472 0.451 67.620 66.432 
0.525 40.000 1.093 0.173 0.162 64.487 63.393 
0.550 80.000 1.119 0.824 0.822 68.805 67.685 
0.550 70.000 1.118 0.824 0.819 68.264 67.145 
0.550 60.000 1.135 0.751 0.739 67.372 66.238 
0.550 50.000 1.177 0.536 0.513 65.764 64.587 
0.550 40.000 1.218 0.175 0.166 62.543 61.325 
0.575 80.000 1.080 0.947 0.946 67.031 65.951 
0.575 70.000 1.082 0.933 0.930 66.431 65.350 
0.575 60.000 1.102 0.827 0.816 65.453 64.351 
0.575 50.000 1.160 0.555 0.532 63.720 62.559 
0.575 40.000 1.326 0.162 0.152 60.451 59.125 
0.600 80.000 1.049 0.999 0.999 65.072 64.023 
0.600 70.000 1.051 0.967 0.965 64.407 63.355 
0.600 60.000 1.072 0.825 0.815 63.333 62.261 
0.600 50.000 1.130 0.513 0.492 61.476 60.345 
0.600 40.000 1.347 0.132 0.122 58.193 56.846 
0.625 80.000 1.031 0.946 0.944 62.904 61.873 
0.625 70.000 1.032 0.891 0.888 62.168 61.135 
0.625 60.000 1.045 0.723 0.714 60.995 59.951 
0.625 50.000 1.075 0.408 0.393 59.025 57.951 
0.625 40.000 1.215 0.091 0.085 55.752 54.537 
0.650 80.000 1.041 0.776 0.770 60.509 59.469 
0.650 70.000 1.038 0.705 0.699 59.701 58.663 
0.650 60.000 1.030 0.537 0.528 58.436 57.406 
0.650 50.000 0.991 0.270 0.263 56.377 55.386 
0.650 40.000 0.930 0.052 0.051 53.147 52.217 
0.675 80.000 1.106 0.529 0.517 57.890 56.784 
0.675 70.000 1.095 0.461 0.449 57.017 55.922 
0.675 60.000 1.051 0.326 0.316 55.682 54.630 
0.675 50.000 0.909 0.145 0.143 53.585 52.676 
0.675 40.000 0.606 0.024 0.026 50.479 49.873 
0.700 80.000 1.260 0.289 0.272 55.097 53.837 
0.700 70.000 1.228 0.240 0.225 54.180 52.953 
0.700 60.000 1.132 0.158 0.148 52.820 51.688 
0.700 50.000 0.884 0.063 0.062 50.780 49.896 
0.700 40.000 0.425 0.010 0.012 47.950 47.524 
