A = 7D_CPEB4, rgA = 51.376 ; B = CPEB4, rgB = 51.363 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.750 80.000 -0.052 0.714 0.710 57.046 57.097 
0.750 70.000 -0.077 0.726 0.718 56.448 56.525 
0.750 60.000 -0.088 0.689 0.673 55.515 55.603 
0.750 50.000 -0.090 0.543 0.515 53.961 54.051 
0.750 40.000 -0.114 0.253 0.225 51.216 51.330 
0.775 80.000 -0.016 0.916 0.915 54.256 54.271 
0.775 70.000 -0.054 0.914 0.909 53.603 53.656 
0.775 60.000 -0.088 0.834 0.821 52.600 52.688 
0.775 50.000 -0.125 0.610 0.585 50.981 51.105 
0.775 40.000 -0.137 0.248 0.220 48.276 48.413 
0.800 80.000 0.009 0.999 0.999 51.158 51.149 
0.800 70.000 -0.042 0.967 0.965 50.464 50.506 
0.800 60.000 -0.097 0.837 0.829 49.420 49.518 
0.800 50.000 -0.155 0.557 0.539 47.788 47.943 
0.800 40.000 -0.093 0.192 0.166 45.190 45.283 
0.825 80.000 0.025 0.864 0.862 47.791 47.766 
0.825 70.000 -0.045 0.802 0.803 47.076 47.121 
0.825 60.000 -0.125 0.648 0.647 46.022 46.147 
0.825 50.000 -0.193 0.382 0.373 44.413 44.606 
0.825 40.000 0.054 0.106 0.086 41.935 41.881 
0.850 80.000 -0.021 0.544 0.547 44.230 44.251 
0.850 70.000 -0.122 0.478 0.488 43.509 43.632 
0.850 60.000 -0.246 0.351 0.363 42.451 42.696 
0.850 50.000 -0.317 0.174 0.176 40.843 41.160 
0.850 40.000 0.318 0.037 0.026 38.462 38.144
0.875 80.000 -0.262 0.226 0.247 40.583 40.845 
0.875 70.000 -0.422 0.182 0.209 39.843 40.265 
0.875 60.000 -0.625 0.114 0.140 38.739 39.364 
0.875 50.000 -0.681 0.044 0.053 37.074 37.755 
0.875 40.000 0.451 0.008 0.004 34.883 34.432 
0.900 80.000 -0.810 0.056 0.085 37.028 37.838 
0.900 70.000 -1.053 0.040 0.067 36.237 37.290 
0.900 60.000 -1.332 0.020 0.040 35.074 36.406 
0.900 50.000 -1.261 0.006 0.011 33.468 34.728 
0.900 40.000 0.220 0.001 0.001 31.782 31.562 
