A = 7D_CPEB4, rgA = 32.248 ; B = CPEB4_alpha, rgB = 31.956
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.900 80.000 -4.968 0.129 0.072 39.661 44.629 
0.900 70.000 -3.455 0.156 0.107 38.834 42.288 
0.900 60.000 -1.852 0.162 0.136 37.846 39.697 
0.900 50.000 -0.437 0.114 0.115 36.649 37.086 
0.900 40.000 0.228 0.032 0.038 35.028 34.800 
0.925 80.000 -1.867 0.303 0.245 37.604 39.471 
0.925 70.000 -1.110 0.344 0.304 36.893 38.002 
0.925 60.000 -0.422 0.327 0.311 36.040 36.462 
0.925 50.000 0.114 0.206 0.208 35.002 34.888 
0.925 40.000 0.352 0.051 0.054 33.637 33.285 
0.950 80.000 -0.414 0.582 0.550 35.631 36.044 
0.950 70.000 -0.132 0.616 0.597 35.035 35.168 
0.950 60.000 0.101 0.535 0.527 34.319 34.218 
0.950 50.000 0.271 0.303 0.300 33.444 33.173 
0.950 40.000 0.245 0.065 0.064 32.241 31.995 
0.975 80.000 0.128 0.872 0.865 33.829 33.702 
0.975 70.000 0.208 0.863 0.858 33.345 33.138 
0.975 60.000 0.263 0.689 0.682 32.761 32.498 
0.975 50.000 0.277 0.351 0.343 32.034 31.757 
0.975 40.000 0.013 0.062 0.064 30.922 30.910 
