A = CPEB4_D4, rgA = 67.746 ; B = CPEB4_alpha, rgB = 68.395 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.500 80.000 -0.225 0.661 0.661 73.263 73.488 
0.500 70.000 -0.323 0.668 0.668 72.662 72.984 
0.500 60.000 -0.513 0.633 0.610 71.560 72.073 
0.500 50.000 -0.882 0.490 0.417 69.315 70.196 
0.500 40.000 -1.593 0.177 0.110 64.205 65.798 
0.525 80.000 -0.325 0.781 0.782 72.059 72.384 
0.525 70.000 -0.431 0.785 0.783 71.386 71.817 
0.525 60.000 -0.627 0.731 0.700 70.164 70.791 
0.525 50.000 -0.993 0.537 0.453 67.722 68.715 
0.525 40.000 -1.775 0.166 0.105 62.390 64.164 
0.550 80.000 -0.428 0.890 0.890 70.750 71.179 
0.550 70.000 -0.541 0.887 0.882 69.994 70.535 
0.550 60.000 -0.740 0.806 0.767 68.639 69.379 
0.550 50.000 -1.103 0.555 0.465 65.989 67.092 
0.550 40.000 -1.949 0.142 0.094 60.469 62.419 
0.575 80.000 -0.535 0.969 0.969 69.320 69.856 
0.575 70.000 -0.653 0.954 0.946 68.469 69.121 
0.575 60.000 -0.853 0.839 0.795 66.965 67.818 
0.575 50.000 -1.208 0.532 0.444 64.105 65.313 
0.575 40.000 -2.043 0.106 0.077 58.460 60.503 
0.600 80.000 -0.647 1.000 1.000 67.748 68.395 
0.600 70.000 -0.768 0.966 0.956 66.788 67.556 
0.600 60.000 -0.967 0.814 0.768 65.123 66.090 
0.600 50.000 -1.293 0.465 0.389 62.062 63.355 
0.600 40.000 -1.901 0.068 0.055 56.399 58.300 
0.625 80.000 -0.764 0.964 0.965 66.010 66.774 
0.625 70.000 -0.886 0.908 0.897 64.928 65.814 
0.625 60.000 -1.075 0.723 0.681 63.094 64.169 
0.625 50.000 -1.324 0.364 0.303 59.854 61.178 
0.625 40.000 -1.279 0.037 0.030 54.361 55.640 
0.650 80.000 -0.882 0.855 0.857 64.083 64.965 
0.650 70.000 -1.001 0.777 0.768 62.868 63.870 
0.650 60.000 -1.166 0.574 0.540 60.863 62.030 
0.650 50.000 -1.234 0.248 0.200 57.493 58.727 
0.650 40.000 -0.001 0.018 0.012 52.445 52.445 
0.675 80.000 -1.000 0.682 0.686 61.946 62.946 
0.675 70.000 -1.110 0.589 0.584 60.591 61.701 
0.675 60.000 -1.221 0.397 0.371 58.426 59.648 
0.675 50.000 -0.937 0.145 0.106 55.016 55.954 
0.675 40.000 1.757 0.008 0.003 50.737 48.980 
0.700 80.000 -1.121 0.477 0.482 59.586 60.707 
0.700 70.000 -1.211 0.385 0.382 58.096 59.307 
0.700 60.000 -1.217 0.232 0.211 55.813 57.030 
0.700 50.000 -0.398 0.072 0.042 52.511 52.909 
0.700 40.000 3.429 0.004 0.001 49.275 45.846 
