A = CPEB4_D4, rgA = 55.215 ; B = CPEB4, rgB = 56.169 
lambda, eps, diff,  neff_a,  neff_b, rw_A, rw_B 
0.600 80.000 -0.194 0.175 0.184 67.351 67.545 
0.600 70.000 -0.241 0.179 0.188 67.000 67.240 
0.600 60.000 -0.324 0.178 0.185 66.408 66.732 
0.600 50.000 -0.512 0.164 0.160 65.314 65.826 
0.600 40.000 -1.085 0.120 0.093 63.041 64.126 
0.625 80.000 -0.263 0.270 0.280 65.935 66.197 
0.625 70.000 -0.326 0.276 0.286 65.530 65.856 
0.625 60.000 -0.435 0.275 0.279 64.854 65.289 
0.625 50.000 -0.661 0.251 0.238 63.625 64.286 
0.625 40.000 -1.297 0.175 0.133 61.127 62.424 
0.650 80.000 -0.369 0.402 0.414 64.294 64.663 
0.650 70.000 -0.445 0.412 0.422 63.832 64.278 
0.650 60.000 -0.572 0.407 0.408 63.070 63.642 
0.650 50.000 -0.822 0.364 0.341 61.701 62.522 
0.650 40.000 -1.475 0.236 0.183 58.992 60.467 
0.675 80.000 -0.506 0.573 0.584 62.404 62.911 
0.675 70.000 -0.592 0.585 0.592 61.882 62.474 
0.675 60.000 -0.729 0.571 0.565 61.028 61.758 
0.675 50.000 -0.987 0.493 0.459 59.524 60.511 
0.675 40.000 -1.614 0.290 0.231 56.641 58.255 
0.700 80.000 -0.664 0.766 0.773 60.242 60.906 
0.700 70.000 -0.754 0.775 0.777 59.657 60.410 
0.700 60.000 -0.895 0.740 0.727 58.713 59.608 
0.700 50.000 -1.148 0.607 0.566 57.087 58.235 
0.700 40.000 -1.721 0.316 0.261 54.092 55.813 
0.725 80.000 -0.824 0.933 0.935 57.790 58.614 
0.725 70.000 -0.914 0.930 0.927 57.142 58.056 
0.725 60.000 -1.054 0.860 0.843 56.116 57.170 
0.725 50.000 -1.297 0.658 0.619 54.394 55.691 
0.725 40.000 -1.813 0.296 0.254 51.368 53.181
0.750 80.000 -0.965 0.999 0.999 55.037 56.002 
0.750 70.000 -1.056 0.972 0.970 54.334 55.389 
0.750 60.000 -1.193 0.859 0.848 53.241 54.434 
0.750 50.000 -1.431 0.600 0.577 51.461 52.893 
0.750 40.000 -1.929 0.227 0.207 48.474 50.402 
