# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
-1.991911163676345353e+00 9.943686410643338691e-01 9.935794007775075043e-01 1.000571701144397307e+00 9.997299456956640906e-01 1.053326787219123428e+00 9.990476587018957133e-01 1.019888163966182315e+00 1.003128790800808412e+00
-1.991706294158205992e+00 9.944346045969247871e-01 9.935331701937599735e-01 1.000534940202268075e+00 9.997029318582769664e-01 1.053325539441433145e+00 9.991005355079032313e-01 1.019897524639179487e+00 1.003071849677918514e+00
-1.991287418189070735e+00 9.943608235097940451e-01 9.935501898520788799e-01 1.000608503535497906e+00 9.997516608337357891e-01 1.053311312865258476e+00 9.990943566545079646e-01 1.019891288382130501e+00 1.003121179965239529e+00
-1.991061815159557824e+00 9.943953213107357136e-01 9.936180873786474299e-01 1.000588366617226166e+00 9.997351892604718904e-01 1.053320292804551972e+00 9.990236871717816936e-01 1.019883006658832914e+00 1.003134438172933240e+00
-1.990435998573108378e+00 9.943992365089264762e-01 9.935601030617000617e-01 1.000544960571319031e+00 9.996950829983100029e-01 1.053304757923351875e+00 9.990616667340399548e-01 1.019891014672468454e+00 1.003064320875129978e+00
-1.989730733129878359e+00 9.943738055772164408e-01 9.935717463563357166e-01 1.000598036887249132e+00 9.997162928471171606e-01 1.053309501302054363e+00 9.990993048670921972e-01 1.019823545574633172e+00 1.003182367467332359e+00
-1.988984673451547280e+00 9.944014362407385121e-01 9.935644238042418142e-01 1.000641386029067714e+00 9.997731496138784202e-01 1.053298487683622220e+00 9.990604640161541150e-01 1.019822223638407799e+00 1.003174304410225037e+00
-1.988091667472026813e+00 9.944055034013112859e-01 9.935358346681215647e-01 1.000572345256381945e+00 9.997566532359726255e-01 1.053249512277876221e+00 9.991037467376411296e-01 1.019917492408141557e+00 1.003108829877922936e+00
-1.986634074678640616e+00 9.943958297088011378e-01 9.935086308768992236e-01 1.000616494987377258e+00 9.997337034497846275e-01 1.053212509224290994e+00 9.990540419954299090e-01 1.019934350113521182e+00 1.003096676413860910e+00
-1.985139439759251445e+00 9.943692937158969958e-01 9.934988955397585642e-01 1.000573197971111661e+00 9.997141622656551263e-01 1.053202223201228804e+00 9.990674362172968781e-01 1.019873661251678998e+00 1.003151639655429417e+00
-1.982952395398942969e+00 9.944283011351320312e-01 9.935740715743106577e-01 1.000466795646752338e+00 9.996990601374553531e-01 1.053188123732531567e+00 9.990556342403910106e-01 1.019860064856919379e+00 1.003094136743581499e+00
-1.980170809581110802e+00 9.942753642195834018e-01 9.935766674976251878e-01 1.000490061742770553e+00 9.996456437975599352e-01 1.053066510100403752e+00 9.990180877762657730e-01 1.020004243163317614e+00 1.003121044945926688e+00
-1.977219961946481419e+00 9.943873665890222702e-01 9.935784948182260212e-01 1.000559135588711790e+00 9.997702388961213771e-01 1.052994585774929881e+00 9.991101549222456413e-01 1.020093164325856394e+00 1.003116038492068096e+00
-1.973154606637852027e+00 9.944154478527419405e-01 9.936034707546248512e-01 1.000458803430052113e+00 9.996555686605481661e-01 1.052989256733053658e+00 9.990760186800318188e-01 1.019932290436436073e+00 1.003109462848954525e+00
-1.967678999912887861e+00 9.944708557169459340e-01 9.936283355811124096e-01 1.000563062108160040e+00 9.998480469899521106e-01 1.052853093298680154e+00 9.990828961734017355e-01 1.020073242888912102e+00 1.003017266559636411e+00
-1.959962750623763128e+00 9.943517552269106607e-01 9.934264964234338358e-01 1.000446236831046276e+00 9.997097674117308985e-01 1.052625584413683812e+00 9.990806713194029243e-01 1.020199889458691445e+00 1.003102411832442087e+00
-1.952251117407609371e+00 9.944601042150951198e-01 9.935855166672709071e-01 1.000438357519480626e+00 9.997581150124564831e-01 1.052570452950593261e+00 9.991267670345431728e-01 1.020068362886255242e+00 1.003088578214976767e+00
-1.941559228611357213e+00 9.944130353061206851e-01 9.936445775856024287e-01 1.000382177128962713e+00 9.996733448319262694e-01 1.052273699516012240e+00 9.991840442013000256e-01 1.020335441070996607e+00 1.003164943687790744e+00
-1.927375993397458132e+00 9.944079679177602049e-01 9.937029255646426806e-01 1.000403189782517632e+00 9.997366572169897880e-01 1.051996937650158115e+00 9.992088830072086703e-01 1.020406273865048341e+00 1.003147332146641757e+00
-1.909800592383898987e+00 9.944396297561378661e-01 9.937082720460469476e-01 1.000331372821652298e+00 9.997439854904109913e-01 1.051602892418827206e+00 9.992291211604960033e-01 1.020602903255958704e+00 1.003137311204016058e+00
-1.887937305232899377e+00 9.944020171287912824e-01 9.937702094614604409e-01 1.000309909534220498e+00 9.997580297289503370e-01 1.051089219351321713e+00 9.992863297800490541e-01 1.020882444917017073e+00 1.003130005711538209e+00
-1.858281194206899301e+00 9.943498947090373408e-01 9.938274176536137094e-01 1.000205750364531188e+00 9.997296110343655284e-01 1.050366366596749534e+00 9.993451100633736761e-01 1.021280132592577994e+00 1.003113628824002124e+00
-1.821374765792345585e+00 9.942434057860406460e-01 9.938464696607095528e-01 1.000154321755635678e+00 9.997211742921188193e-01 1.049409450646672237e+00 9.994892856215368271e-01 1.021804030480990333e+00 1.003188105562714760e+00
-1.770228838468245414e+00 9.941949743410155582e-01 9.939273732048214960e-01 9.998839518350518540e-01 9.997384871173824461e-01 1.047912130196772873e+00 9.996815749092891057e-01 1.022818056351401772e+00 1.003160251895110378e+00
-1.583168024050710443e+00 9.924920934519241289e-01 9.950444014130659376e-01 9.976013092946776073e-01 9.993585457583038512e-01 1.028534472908547492e+00 1.002643508740776124e+00 1.039211063732292217e+00 1.003924215024948552e+00
-1.494900637508635555e+00 9.928471480325580245e-01 9.951620934265250629e-01 9.975585815769254516e-01 9.992898468689643821e-01 1.025351905678637987e+00 1.002844165024791234e+00 1.038225112472425549e+00 1.003931825818986656e+00
