# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
1.521718418225626834e+01 9.839230564028009773e-01 1.009299964361845436e+00 9.959933222722172630e-01 9.957457043502317973e-01 9.936698423062568786e-01 1.010698279373877462e+00 1.072469868235242707e+00 1.010274640586598771e+00
1.521879841383255716e+01 9.839520955744301967e-01 1.009330383811276821e+00 9.959940732459091617e-01 9.957526581639308816e-01 9.936707996502480711e-01 1.010747660560691319e+00 1.072339474133815695e+00 1.010265226128968630e+00
1.522068878977712814e+01 9.838133338689070140e-01 1.009227114341940901e+00 9.960669781707807147e-01 9.958312881769739722e-01 9.936017193559958383e-01 1.010604315364417527e+00 1.072187706988314559e+00 1.010326573661734839e+00
1.522288781411967840e+01 9.840693520172366648e-01 1.009201244868240810e+00 9.960663791662139888e-01 9.958246615694756887e-01 9.936350863078066142e-01 1.010674330732923121e+00 1.072076260658448854e+00 1.010259599021905208e+00
1.522596016393209162e+01 9.839625693986975286e-01 1.009146543715225164e+00 9.959640173777632999e-01 9.957688036601572978e-01 9.935250627948750690e-01 1.010694149548476251e+00 1.071796654321301334e+00 1.010253777671428654e+00
1.522974190141413153e+01 9.841278373581054950e-01 1.009050886841987182e+00 9.960288066404976437e-01 9.959004757357723392e-01 9.935304515914817891e-01 1.010683616235852789e+00 1.071580170420082911e+00 1.010120049421598054e+00
1.523439137802554555e+01 9.842080677207462047e-01 1.008968659499055676e+00 9.959971537190566160e-01 9.959212757652184944e-01 9.934334289567106069e-01 1.010604026650683718e+00 1.071254231177874772e+00 1.010058496865269273e+00
1.524035009439181110e+01 9.843653518236749056e-01 1.008830291624676523e+00 9.960650056290228926e-01 9.960136234203926797e-01 9.933555390761374948e-01 1.010462913703372934e+00 1.070869363960303300e+00 1.010005795869450385e+00
1.524739299918632796e+01 9.845217928682642450e-01 1.008730469335596958e+00 9.961438560688896660e-01 9.961028190853082886e-01 9.932634358783996031e-01 1.010401501023021620e+00 1.070391066371895405e+00 1.009894573929520423e+00
1.525654546670820189e+01 9.847150836617741820e-01 1.008490482490285167e+00 9.961531445428017939e-01 9.961945495034492115e-01 9.931785956630602152e-01 1.010340058539735075e+00 1.069771996165704619e+00 1.009783044949162267e+00
