# rg exvol locexvol bias torsionterm hbmm hbms hydrophobicity chargedscinteraction
-1.966471383225524505e+00 9.897644604514240774e-01 9.911997896247414230e-01 9.977836093267299367e-01 9.978002153744600644e-01 1.021940785997757839e+00 1.004957642746065360e+00 1.055552142796303494e+00 1.005334058042817169e+00
-1.965962790097432134e+00 9.898114534685474863e-01 9.912807143604922544e-01 9.977101152071872203e-01 9.977332209943216013e-01 1.021913289840216121e+00 1.005045465017554651e+00 1.055558473863033697e+00 1.005273577838773136e+00
-1.965334059163154734e+00 9.898388698731075408e-01 9.913264359642477430e-01 9.977511891684216483e-01 9.977897481989502770e-01 1.021875410188153310e+00 1.004950896307279518e+00 1.055576013356209097e+00 1.005270458841843517e+00
-1.964357341740619489e+00 9.897790036209780373e-01 9.912014142959846286e-01 9.977470819341072161e-01 9.977657332986828997e-01 1.021955086636081367e+00 1.005019987992815889e+00 1.055468315511181476e+00 1.005310777750961559e+00
-1.963400021856866573e+00 9.898895865279387918e-01 9.912670851193962074e-01 9.977650254077370384e-01 9.978182053374584637e-01 1.021897785918119528e+00 1.004975617743670835e+00 1.055502609840530237e+00 1.005223355080357539e+00
-1.962015534688720919e+00 9.898057533517208295e-01 9.913102075254273116e-01 9.977368421698831202e-01 9.978295173307878407e-01 1.021804956038751211e+00 1.005010104274480121e+00 1.055477496248771629e+00 1.005227050693342283e+00
-1.960425062120798145e+00 9.897367750781808082e-01 9.913331220850045700e-01 9.977136116586573511e-01 9.978738197894576611e-01 1.021846242640590541e+00 1.004985158276766821e+00 1.055387393135985619e+00 1.005348490895704217e+00
-1.958393930572562169e+00 9.898408364907453905e-01 9.913135831334827230e-01 9.977534072803053711e-01 9.977738112702632112e-01 1.021860245668727352e+00 1.004900108249442869e+00 1.055335553519949343e+00 1.005302619622376881e+00
-1.955648125767996959e+00 9.898212940293461548e-01 9.912721019547505730e-01 9.977964983874549887e-01 9.977690917724486575e-01 1.021901669910605825e+00 1.004969418139219695e+00 1.055212998298727278e+00 1.005242714190644815e+00
-1.952121941997731369e+00 9.899366546141940004e-01 9.913266456489940870e-01 9.977674284146862416e-01 9.978558049531958130e-01 1.021775064202501637e+00 1.004917355601473439e+00 1.055168204864334935e+00 1.005312043175710324e+00
-1.948054830702631079e+00 9.897870613828825270e-01 9.912865188645685333e-01 9.977286183011739862e-01 9.978420097914140197e-01 1.021776771841784948e+00 1.004958088545737205e+00 1.054985829310624901e+00 1.005295450633922894e+00
-1.942796853431698167e+00 9.898394725769601443e-01 9.915044607289824619e-01 9.977376245785769537e-01 9.978128893751696538e-01 1.021705900450706306e+00 1.004937844281470483e+00 1.054886010745017533e+00 1.005156721214366611e+00
-1.935979613776694919e+00 9.899502084380285005e-01 9.914498412003862615e-01 9.977443780550685482e-01 9.979398846296112513e-01 1.021695588266383625e+00 1.004866624863705038e+00 1.054666846195636776e+00 1.005216078732910967e+00
-1.927481073992570515e+00 9.900212097890608298e-01 9.914797379848134806e-01 9.978083240824013878e-01 9.978744425139052243e-01 1.021625485672903899e+00 1.004856694548995399e+00 1.054418997688319592e+00 1.005155203793226537e+00
-1.917326879990500998e+00 9.900580724051251114e-01 9.915960644439772986e-01 9.977881365223958410e-01 9.979566024634315413e-01 1.021515959182366373e+00 1.004849547410319177e+00 1.054127364975692371e+00 1.005206298008745947e+00
-1.904022669944904322e+00 9.901714979312605802e-01 9.915583936146141752e-01 9.978525926356196507e-01 9.979750718872679727e-01 1.021379321573170351e+00 1.004769829081743282e+00 1.053739959010800309e+00 1.005187472405867144e+00
-1.887817815479191808e+00 9.902367746175679830e-01 9.916217304951820966e-01 9.978507413508488355e-01 9.980823392161651819e-01 1.021280193245637680e+00 1.004727987470732220e+00 1.053241441500071707e+00 1.005158740531520767e+00
-1.868496244554599173e+00 9.904064838866765141e-01 9.917537572442656213e-01 9.978363541108203894e-01 9.980925137116740675e-01 1.021147210098037661e+00 1.004619216442758090e+00 1.052683151086085900e+00 1.005091937411691561e+00
-1.843536566323646042e+00 9.905400988656676287e-01 9.918909853605735183e-01 9.978587936987435292e-01 9.981853740155244292e-01 1.020942693617610253e+00 1.004585531453359160e+00 1.051951486317056705e+00 1.005002300578640817e+00
-1.813631571608663506e+00 9.906721776059875806e-01 9.919543885255811544e-01 9.979021012120083967e-01 9.981785528602695745e-01 1.020702720835540145e+00 1.004475116855528816e+00 1.051048749828720430e+00 1.004980726437254557e+00
-1.777019052030610169e+00 9.908761430691996885e-01 9.922093098971287439e-01 9.979572124634363828e-01 9.983802442840565838e-01 1.020437421314392301e+00 1.004359132139339028e+00 1.049978893047132988e+00 1.004929710234079510e+00
-1.733349374836180345e+00 9.911262337056020444e-01 9.923333851729307931e-01 9.979672770944879590e-01 9.984207102202008466e-01 1.020059893755050906e+00 1.004225054167712239e+00 1.048702244033477005e+00 1.004805271188125460e+00
-1.680545442260651612e+00 9.913943366354116549e-01 9.925714521282105185e-01 9.980364497592348894e-01 9.985031493777830613e-01 1.019673105523283052e+00 1.004031043530973832e+00 1.047144979947268739e+00 1.004701182119039693e+00
-1.618063406496862200e+00 9.916688211476371029e-01 9.928820970319289785e-01 9.981347682425772971e-01 9.986796092072576236e-01 1.019174353194495009e+00 1.003843465283245528e+00 1.045322788718158424e+00 1.004575676417219343e+00
-1.545891458632823401e+00 9.920316437079992333e-01 9.932781677439144197e-01 9.981985613657669010e-01 9.988804937426993824e-01 1.018578965976044692e+00 1.003614329918240955e+00 1.043264540172978982e+00 1.004257989470062284e+00
-1.465603141718641922e+00 9.925456233731813072e-01 9.935839430516067994e-01 9.982259764239300726e-01 9.990258081894625164e-01 1.017929052612523533e+00 1.003415919655063382e+00 1.040928413445964429e+00 1.004279310414210480e+00
-1.373386062439323041e+00 9.928998845355554437e-01 9.938999060681359410e-01 9.983147747823479801e-01 9.992070614088112146e-01 1.017198863921204843e+00 1.003137829454276098e+00 1.038237708146192428e+00 1.003950074674229587e+00
-1.270544167099235011e+00 9.935069965635386913e-01 9.943956150797201854e-01 9.984304772291707764e-01 9.993414832312442764e-01 1.016247597302761818e+00 1.002901914454128462e+00 1.035333984455162559e+00 1.003784736360511687e+00
-1.159274410061854610e+00 9.940132322959447375e-01 9.948362448358760712e-01 9.985703001223901198e-01 9.994320490196126894e-01 1.015236218930809065e+00 1.002629007599622479e+00 1.032155853606689710e+00 1.003451152148835401e+00
-1.041299469540366118e+00 9.946747029804303697e-01 9.953190687040340823e-01 9.986576718152639920e-01 9.995741031485907424e-01 1.014125530669157893e+00 1.002265776462047508e+00 1.028809934838319728e+00 1.003203574065130832e+00
-9.222617305383451480e-01 9.952825129932312276e-01 9.958267745075690680e-01 9.987777701704552147e-01 9.996379418310916698e-01 1.012934414556268425e+00 1.002013347521715669e+00 1.025439550735454119e+00 1.002876522131141979e+00
-8.034370142669899906e-01 9.959059810559960368e-01 9.963097468094066489e-01 9.988834136420733367e-01 9.997987080940853311e-01 1.011572564509651606e+00 1.001766924783082269e+00 1.022127712661090371e+00 1.002612248136727224e+00
-6.889654713852593204e-01 9.965214544474085834e-01 9.968768046097242763e-01 9.990009477564452123e-01 9.998662096228427831e-01 1.010255066421891446e+00 1.001492148600501064e+00 1.018941976423848539e+00 1.002257901133468465e+00
-5.811634471182465234e-01 9.970138611938139661e-01 9.973062084891828327e-01 9.990874757654240046e-01 9.999160922031443688e-01 1.008949692911665030e+00 1.001250019647079270e+00 1.015906731408058539e+00 1.001903182687900129e+00
-4.863126039879830387e-01 9.975369846294757092e-01 9.977204042513867499e-01 9.992558062655092499e-01 9.999566306649275704e-01 1.007652195484948443e+00 1.001075028122623278e+00 1.013305268275674464e+00 1.001649048102948303e+00
-4.013040948383164164e-01 9.979735675956670216e-01 9.981244760844526498e-01 9.993779634857375971e-01 1.000023682375217104e+00 1.006447682273988731e+00 1.000876480165336924e+00 1.010982307479268538e+00 1.001329845767974902e+00
-3.291213811537367917e-01 9.982956360715558031e-01 9.984906263460804343e-01 9.994399321432493322e-01 1.000047172502148474e+00 1.005441100744393967e+00 1.000734626063623178e+00 1.008966982414908564e+00 1.001056048576309365e+00
-2.680685056092677598e-01 9.986188575304544290e-01 9.986959524092544616e-01 9.995377427143374849e-01 9.999744165006375640e-01 1.004493945807486410e+00 1.000611484207615476e+00 1.007284950061240636e+00 1.000916953695853762e+00
-2.141477071855604208e-01 9.989589482617324823e-01 9.989549241101638444e-01 9.996278111672751709e-01 1.000053610159397532e+00 1.003680957011205965e+00 1.000441930986072370e+00 1.005797068993242949e+00 1.000810376879492480e+00
-1.728569651194824530e-01 9.991489937249613540e-01 9.991571393926598210e-01 9.996590863632637269e-01 9.999957056912801567e-01 1.002991548255883103e+00 1.000382062197385569e+00 1.004691851871794217e+00 1.000547671961875551e+00
-1.380228311446920486e-01 9.992915456796644946e-01 9.993358266229043219e-01 9.997219416332923103e-01 9.999747895827983957e-01 1.002396025719489048e+00 1.000288817666401098e+00 1.003743129891318198e+00 1.000504300682526715e+00
-1.103595223688635940e-01 9.993987992080333171e-01 9.994353340472157399e-01 9.997972378732482568e-01 1.000008402958754594e+00 1.001900681859400510e+00 1.000292074700451783e+00 1.003002092845346027e+00 1.000342941290075949e+00
-8.753708278694460887e-02 9.995573717866365060e-01 9.995219553931308232e-01 9.998337980929518087e-01 1.000010773406972753e+00 1.001519871702440945e+00 1.000183133281395520e+00 1.002381079481119208e+00 1.000293620960747809e+00
-6.972199314732563380e-02 9.996326578805416752e-01 9.996548356525929435e-01 9.998451076176633201e-01 9.999846198595679914e-01 1.001211103708399275e+00 1.000131112562922198e+00 1.001900076730394051e+00 1.000257411900764559e+00
-5.565944864491711996e-02 9.997452114713443194e-01 9.997391394831538491e-01 9.999026629509668584e-01 9.999937414121875534e-01 1.000980935605747746e+00 1.000147449085817097e+00 1.001520274367479146e+00 1.000188654551058764e+00
-4.392976072837839752e-02 9.998058809791229296e-01 9.997949260565747176e-01 9.999014648643174130e-01 9.999981653958837091e-01 1.000767817974090867e+00 1.000098329472908887e+00 1.001204346746172646e+00 1.000170259011500473e+00
-3.534068027016346036e-02 9.998031537788670819e-01 9.998304039980090430e-01 9.999228688818572186e-01 9.999933716269779893e-01 1.000607800054546415e+00 1.000065249646236776e+00 1.000970311817699354e+00 1.000126398275896777e+00
-2.778755595952375756e-02 9.998460337024905886e-01 9.998613271767855526e-01 9.999459122381662013e-01 1.000001113453774959e+00 1.000476712537204715e+00 1.000062988775291650e+00 1.000763258213746454e+00 1.000097195492998914e+00
-2.220665590571258008e-02 9.998941470453158731e-01 9.998814684149581744e-01 9.999488522268030755e-01 9.999957607048213237e-01 1.000394120872073689e+00 1.000064146476026927e+00 1.000602179095027466e+00 1.000075583649744360e+00
-1.742975580489058984e-02 9.999083164857234252e-01 9.999228247786894341e-01 9.999469417255815173e-01 1.000015253218440758e+00 1.000318912644790892e+00 1.000033879188807706e+00 1.000468401990219469e+00 1.000057546620373383e+00
1.663917754207844268e-02 1.000083596298976474e+00 1.000109505387237085e+00 1.000060363267758490e+00 9.999774868175417275e-01 9.996971559902264604e-01 9.999515148418105515e-01 9.995591502810726725e-01 9.999360243448502938e-01
2.169399894716761423e-02 1.000100223979532466e+00 1.000098506198110915e+00 1.000030849837792779e+00 9.999905915349340813e-01 9.996142321191637814e-01 9.999620491532948963e-01 9.994032524619154145e-01 9.999182604153133980e-01
2.751854361237704438e-02 1.000153242677836563e+00 1.000140531535424593e+00 1.000049420648474019e+00 9.999805360811844235e-01 9.995146373577502574e-01 9.999259232217069249e-01 9.992494272034956326e-01 9.999063935830256877e-01
3.507585292760140305e-02 1.000178502996678542e+00 1.000175696532826120e+00 1.000049711433468769e+00 1.000000800540484569e+00 9.993475536311419161e-01 9.999516512575171712e-01 9.990592171457455262e-01 9.998571024373991145e-01
4.303296238596843182e-02 1.000235586709808278e+00 1.000205186844913552e+00 1.000084716230630999e+00 9.999580898545016305e-01 9.992330691279001087e-01 9.999024073128610635e-01 9.988258110371596166e-01 9.998481578396885006e-01
5.449429578188258461e-02 1.000280020045029694e+00 1.000242854909001000e+00 1.000069253929328550e+00 9.999895923675756748e-01 9.990253805084612360e-01 9.998678922763978294e-01 9.985075463081864999e-01 9.997840694741259027e-01
6.779758402239011161e-02 1.000357057884817991e+00 1.000336716843967633e+00 1.000163748476535996e+00 1.000013895193729407e+00 9.988190541626432717e-01 9.998414560289483610e-01 9.981320224740062308e-01 9.997302677582543540e-01
8.483403433679370664e-02 1.000444186276901792e+00 1.000421962110593421e+00 1.000181041386481784e+00 9.999766265607388238e-01 9.984672054302510258e-01 9.998167841100371600e-01 9.976881727583168935e-01 9.996925454953360379e-01
1.055144236301401861e-01 1.000548447517416673e+00 1.000539173517952518e+00 1.000218310162239943e+00 9.999763806014632106e-01 9.980746616820537209e-01 9.997210848307923614e-01 9.971343339840363917e-01 9.996308838878099623e-01
1.307212207756407452e-01 1.000652784365795744e+00 1.000640490026900142e+00 1.000236610977769391e+00 9.999155089058973100e-01 9.975484206926272801e-01 9.996756597313116721e-01 9.964754061248468631e-01 9.995030608214230394e-01
1.617275219541625120e-01 1.000860354204414548e+00 1.000809081582457072e+00 1.000357161546304940e+00 9.999987662918383702e-01 9.969653690090378717e-01 9.996367812863591329e-01 9.956369874445925028e-01 9.993922765532993191e-01
1.988558025674258545e-01 1.000997896788238251e+00 1.000954886318030645e+00 1.000456916167901333e+00 9.999195276406342980e-01 9.962556488478460093e-01 9.995900987149834993e-01 9.945924123728119293e-01 9.993036644285493431e-01
2.426617492404332666e-01 1.001363758303618123e+00 1.001195230771184441e+00 1.000506049405523568e+00 9.999107557390305434e-01 9.953804902837981583e-01 9.993882539956907562e-01 9.934459181290478114e-01 9.990979781988080788e-01
2.932546983101786964e-01 1.001580865848599178e+00 1.001525632329059778e+00 1.000658736329017362e+00 9.999093145440153263e-01 9.943336812461208707e-01 9.992629158607903017e-01 9.920779576613597550e-01 9.990051598734969174e-01
3.519044918684031131e-01 1.001907322949753709e+00 1.001805289243300479e+00 1.000737657559703120e+00 9.999303505259165004e-01 9.931201635216704293e-01 9.991629586690135012e-01 9.904757161485163719e-01 9.987039143213269909e-01
4.184793265658548478e-01 1.002216512039594054e+00 1.002177161723492471e+00 1.000907141836320680e+00 9.998795122123080859e-01 9.917246951472502570e-01 9.989906594886178715e-01 9.886299423056421620e-01 9.984758165425409171e-01
4.949338521248520806e-01 1.002676887081848767e+00 1.002611770244836720e+00 1.001173465442237731e+00 9.998360033971703809e-01 9.900192458659394790e-01 9.987479331202154809e-01 9.865826436027733681e-01 9.981143939141149390e-01
5.754495655740790028e-01 1.003229795849029049e+00 1.003044328708978306e+00 1.001398311591134682e+00 9.997983456338778163e-01 9.881522859552634985e-01 9.984709479949516187e-01 9.843911697569309727e-01 9.979851041610174889e-01
6.637734900430807272e-01 1.003621382372600124e+00 1.003560245886572000e+00 1.001652764696402187e+00 9.997597509889326606e-01 9.859979429470082657e-01 9.982964162362972793e-01 9.819845071903220424e-01 9.975541755431971414e-01
7.548844425069525244e-01 1.004121501931206417e+00 1.004041625690538897e+00 1.002044439657898689e+00 9.997000523377750358e-01 9.838343973632237560e-01 9.980245829860956430e-01 9.793896875610657027e-01 9.971415380540247231e-01
8.496193399001406021e-01 1.004760897337899639e+00 1.004688715655096320e+00 1.002385342028564441e+00 9.996344922263804555e-01 9.814389627578656849e-01 9.977522495202302277e-01 9.767479742671649756e-01 9.966663499114584157e-01
9.457320546163465735e-01 1.005240641995990947e+00 1.005283798266497719e+00 1.002817712351723900e+00 9.996213469663977058e-01 9.789579439405367012e-01 9.974243755402036893e-01 9.739371619810239800e-01 9.962640449319291047e-01
1.042359936382677432e+00 1.005946225918471493e+00 1.005896789828046423e+00 1.003234115438533136e+00 9.996029762042040190e-01 9.763320816989962125e-01 9.971080335091011548e-01 9.711258614988159676e-01 9.958252008393070343e-01
